user_id,purchase_date,amount_spend,items
1,2024-09-01,100,instant noodles
2,2024-09-01,200,chocolate biscuit
3,2024-09-02,150,apple pie
4,2024-09-03,300,whole chicken
5,2024-09-05,50,banana milkshake
6,2024-09-06,250,orange juice
1,2024-09-06,400,french bread
2,2024-09-06,500,blueberry muffin
1,2024-09-06,560,strawberry yoghurt
3,2024-09-13,350,mango smoothie
4,2024-09-13,300,grilled fish
5,2024-09-13,150,garlic bread
6,2024-09-20,250,chocolate cake
1,2024-09-20,3780,frozen pizza
7,2024-09-20,450,ice cream
1,2024-09-20,600,spaghetti  chicken pack
8,2024-09-20,500,cheese cubes
1,2024-09-20,6900,barbecue ribs
9,2024-09-27,200,veggie salad
10,2024-09-27,100,fruit platter
11,2024-09-27,300,pineapple slices
12,2024-09-29,250,coconut milk
1,2024-10-01,200,almond butter
2,2024-10-03,350,ginger cookies
9,2024-10-04,150,strawberry jam berry
4,2024-10-04,250,apple cider
9,2024-10-04,300,grape juice
6,2024-10-11,350,mint ice cream
7,2024-10-11,400,granola bars
8,2024-10-11,150,oatmeal pack
9,2024-10-18,200,dried apricots
1,2024-10-18,200,cream cheese
2,2024-10-18,6700,cranberry juice
1,2024-10-18,900,roasted chicken thigh
3,2024-10-18,800,pickled onions
9,2024-10-18,300,grilled steak
9,2024-10-18,9423,smoked salmon
1,2024-10-18,9854,corn tortilla
9,2024-10-18,9054,herbal tea
4,2024-10-18,2398,lemon tart
9,2024-10-18,2378,vanilla pudding
3,2024-10-18,564,chocolate mousse
9,2024-10-18,123,white bread
2,2024-10-18,632,berry yogurt
9,2024-10-18,630,salted chips
1,2024-10-18,750,peanut  butter
9,2024-10-18,500,orange marma lade
15,2024-10-18,150,cinnamon  rolls grape
12,2024-10-25,100,olive oil
1,2024-10-25,200,sunflower seeds
2,2024-10-25,350,black tea
3,2024-10-25,250,vanilla syrup
4,2024-10-27,400,french fries
5,2024-10-27,300,mixed berries
6,2024-10-27,150,pasta shells
7,2024-10-29,200,coconut flakes
8,2024-10-29,250,green tea
9,2024-10-29,300,tomato sauce
10,2024-10-30,350,carrot cake
11,2024-10-30,400,peach slices
12,2024-10-30,150,cucumber salad
