task_id,employee_id,start_time,end_time
1,1001,2023-05-01 08:00:00,2023-05-01 09:00:00
2,1001,2023-05-01 08:30:00,2023-05-01 10:45:00
3,1001,2023-05-01 11:00:00,2023-05-01 12:00:00
7,1001,2023-05-01 11:52:00,2023-05-01 15:30:00
4,1002,2023-05-01 09:00:00,2023-05-01 10:00:00
5,1002,2023-05-01 09:33:00,2023-05-01 11:30:00
6,1003,2023-05-01 14:00:00,2023-05-01 16:00:00
8,1001,2023-05-01 16:00:00,2023-05-01 18:00:00
9,1002,2023-05-01 12:00:00,2023-05-01 14:00:00
10,1002,2023-05-01 13:30:00,2023-05-01 15:30:00
11,1003,2023-05-01 09:07:00,2023-05-01 10:11:00
12,1003,2023-05-01 10:10:00,2023-05-01 13:00:00
13,1004,2023-05-01 08:06:00,2023-05-01 10:00:00
14,1004,2023-05-01 10:10:00,2023-05-01 12:30:00
