Date,Amount,Item
2024-12-01,100.5,pants of   cloth
2024-12-01,200.75,two     pairs of socks
2024-12-01,50.0,shirt
2024-12-02,300.0,Laptop
2024-12-02,75.5,Headphones
2024-12-03,125.0,Smartphone
2024-12-04,500.0,Tablet
2024-12-05,150.0,Book
2024-12-05,80.0,Pen
2024-12-01,359.59,Scarf
2024-12-01,244.62,Hat
2024-12-03,565.68,Gloves
2024-12-03,30.14,Notebook
2024-12-04,432.8,Notebook
2024-12-03,36.71,Notebook
2024-12-02,19.49,Desk Lamp
2024-12-02,540.62,Hat
2024-12-04,292.93,Shoes
2024-12-03,97.9,Shoes
2024-12-05,539.74,Scarf
2024-12-03,207.25,Notebook
2024-12-03,423.6,Charger
2024-12-02,423.31,Jacket
2024-12-03,184.65,Backpack
2024-12-01,422.78,Scarf
2024-12-01,384.27,Watch
2024-12-01,568.42,Shoes
2024-12-03,498.92,Shoes
2025-01-02,571.58,Backpack of trouser
2024-12-04,123.58,Backpack
2024-12-05,161.93,Charger
2024-12-03,351.22,Hat
2024-12-02,256.72,Backpack
2024-12-01,130.28,Jacket
2024-12-02,403.06,Hat
2024-12-02,255.2,Scarf
2024-12-05,571.58,Backpack
2024-12-03,576.23,Desk Lamp
2024-12-03,452.21,Shoes
2024-12-05,340.9,Shoes
2024-10-02,403.06,Hat
2025-01-02,255.2,Dior   Scarf
2025-01-02,571.58,Backpack of trouser
2025-01-03,571.58,Desk Lamp
2024-10-03,452.21,Shoes
2024-05-05,340.9,Shoes
2024-09-02,403.06,maltina lachet
2024-11-02,255.2,Detico dela
2024-10-07,571.58,Black belt
2024-11-09,576.23,mouse   keyboard layer
2024-04-03,452.21,Sandra strap
2024-03-03,452.21,Sanber strap
2024-01-05,340.9,Sanco strap
